id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
2595,2845,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2,355
3647,4632,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,1,365
3831,4869,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,1,194
5022,7192,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,1,0
5099,7322,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,1,129
5178,8967,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,1,220
5203,7490,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,1,0
5238,7549,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,4,188
5295,7702,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,1,6
5441,7989,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1,39
5803,9744,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,3,314
6021,11528,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,1,333
6848,15991,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1,46
7097,17571,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1,321
7322,18946,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,1,12
7726,20950,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,1,21
7750,17985,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,2,249
7801,21207,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,1,0
8024,22486,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,6,347
8025,22486,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,6,364
8110,22486,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,6,304
8490,25183,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,2,233
8505,25326,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,2,85
8700,26394,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,1,0
9357,30193,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,1,75
9518,31374,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,3,311
9657,21904,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,1,67
9668,32294,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,3,355
9704,32045,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1,255
9782,32169,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,3,284
9783,32294,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,3,359
10452,35935,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,2,269
10962,9744,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,3,340
11708,44145,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,2,22
11943,45445,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,1,365
12048,7549,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,4,188
12192,46978,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2,96
12299,47610,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,1,345
12303,47618,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,1,311
12318,16800,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,1,273
12343,47727,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,1,309
12627,49670,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,1,95
12937,50124,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,1,215
12940,50148,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,1,265
13050,50846,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,1,0
13394,52335,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,2,192
13808,54275,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,3,251
14287,56094,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,1,302
14290,56104,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,1,140
14314,56246,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,1,234
14322,56284,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,1,257
14377,56512,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,1,30
14991,59023,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,1,301
15220,59734,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2,294
15338,32169,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,3,320
15341,60049,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,1,154
